OrderID,CustomerID,OrderDate,Product,Quantity,UnitPrice,ShipCountry
5105,23,2024-05-02,Widget A,12,77.22,Uzbekistan
5106,21,2025-05-23,Gadget X,9,263.43,
5107,34,2024-06-19,Gadget X,3,377.38,
5108,35,2024-04-30,Widget A,6,405.47,Germany
5109,68,2024-03-06,Gadget X,12,487.76,France
5110,10,2025-05-23,Gadget Y,9,186.45,UAE
5111,22,2025-01-11,Widget B,5,388.92,UK
5112,15,2024-08-21,Tool Z,1,31.57,
5113,2,2024-09-07,Widget A,8,188.34,USA
5114,23,2024-02-06,Tool Z,13,457.82,France
5115,54,2024-08-17,Gadget X,4,213.96,France
5116,41,2024-10-04,Widget A,10,192.67,UK
5117,7,2024-07-02,Widget B,13,262.72,Uzbekistan
5118,52,2024-03-11,Gadget Y,14,148.32,
5119,40,2024-12-01,Widget A,9,233.8,Germany
5120,26,2024-10-25,Tool Z,13,158.91,UK
5121,32,2025-04-20,Gadget X,10,486.2,
5122,26,2025-07-13,Widget B,3,13.12,UAE
5123,4,2024-08-26,Tool Z,6,321.6,France
5124,2,2024-12-09,Widget A,13,332.07,
5125,40,2024-04-16,Widget B,9,491.72,UAE
5126,63,2024-03-02,Widget B,12,147.1,Uzbekistan
5127,30,2025-06-16,Gadget Y,12,448.82,UAE
5128,11,2025-08-17,Widget A,9,75.41,
5129,51,2024-03-17,Tool Z,10,40.51,France
5130,17,2024-08-30,Gadget X,5,426.94,
5131,51,2024-11-30,Gadget X,8,143.25,Uzbekistan
5132,26,2024-05-19,Tool Z,2,86.14,USA
5133,58,2025-04-22,Gadget X,7,69.15,Germany
5134,27,2025-04-07,Gadget X,8,139.84,Uzbekistan
5135,12,2024-06-10,Gadget X,14,355.3,UK
5136,6,2024-08-08,Gadget X,3,54.68,USA
5137,46,2025-02-09,Tool Z,1,341.81,Germany
5138,23,2024-02-01,Gadget Y,14,231.57,France
5139,32,2024-04-06,Gadget Y,2,403.9,USA
5140,16,2024-01-13,Widget A,14,392.66,USA
5141,17,2024-07-21,Gadget Y,6,346.27,France
5142,11,2025-08-19,Tool Z,5,459.53,Uzbekistan
5143,3,2024-03-07,Widget B,15,326.52,
5144,17,2024-04-04,Gadget X,2,30.91,UAE
5145,7,2024-06-21,Tool Z,7,412.62,UAE
5146,64,2024-01-31,Gadget Y,11,219.06,Germany
5147,28,2024-07-10,Gadget X,5,228.54,USA
5148,5,2024-09-08,Gadget X,8,211.87,UK
5149,62,2024-03-03,Widget A,5,197.67,UAE
5150,26,2025-06-22,Widget B,11,497.09,UK
5151,3,2025-01-26,Gadget X,8,276.8,UAE
5152,45,2025-08-02,Tool Z,6,200.3,USA
5153,4,2024-11-22,Tool Z,4,24.35,
5154,36,2024-02-29,Gadget Y,9,185.13,UK
5155,30,2024-06-12,Widget A,4,331.85,Germany
5156,69,2024-02-27,Widget B,10,424.78,
5157,50,2024-12-29,Widget B,3,125.9,Germany
5158,46,2024-01-29,Gadget X,10,286.16,UK
5159,25,2025-05-19,Tool Z,5,96.01,Uzbekistan
5160,12,2024-02-27,Widget B,10,117.21,UK
5161,62,2024-01-01,Gadget X,15,310.92,
5162,17,2024-12-14,Widget B,15,403.18,
5163,42,2024-03-01,Widget A,3,297.43,USA
5164,15,2025-06-22,Gadget X,2,193.05,France
5165,51,2025-08-23,Widget A,6,157.85,USA
5166,21,2025-03-23,Gadget Y,11,165.46,France
5167,46,2024-08-16,Tool Z,14,95.91,Germany
5168,38,2024-05-10,Widget B,12,10.87,France
5169,51,2025-08-04,Widget A,3,305.16,
5170,29,2025-08-02,Widget A,15,253.12,Germany
5171,10,2024-08-31,Gadget X,6,92.25,Uzbekistan
5172,43,2025-04-02,Widget A,5,112.74,France
5173,9,2024-12-24,Gadget X,13,62.93,Uzbekistan
5174,7,2025-01-30,Gadget Y,12,215.62,USA
5175,53,2025-05-19,Gadget Y,6,277.54,Uzbekistan
5176,62,2025-08-14,Widget B,3,231.12,
5177,5,2024-10-28,Widget A,6,137.94,Uzbekistan
5178,10,2024-12-16,Widget B,15,193.96,France
5179,10,2025-07-14,Widget A,6,301.06,UK
5180,62,2024-02-01,Gadget Y,11,90.84,UAE
5181,21,2024-02-24,Widget A,6,110.71,USA
5182,53,2025-07-21,Tool Z,5,333.68,Germany
5183,31,2024-04-08,Widget A,7,290.16,
5184,63,2024-06-06,Widget A,6,11.86,Uzbekistan
5185,38,2025-05-06,Widget B,2,22.6,USA
5186,38,2024-03-24,Gadget Y,14,66.59,
5187,51,2025-04-27,Gadget Y,15,333.9,Uzbekistan
5188,70,2025-01-31,Widget B,6,443.88,Germany
5189,24,2025-04-01,Widget A,5,225.46,Germany
5190,29,2024-10-02,Tool Z,1,84.04,France
5191,13,2024-03-28,Gadget X,13,275.3,
5192,30,2025-07-20,Widget A,14,199.67,UK
5193,54,2025-07-02,Gadget Y,10,442.0,UAE
5194,39,2024-03-21,Gadget Y,15,428.42,Uzbekistan
5195,65,2025-08-07,Tool Z,13,290.02,UK
5196,19,2024-05-03,Gadget Y,3,475.03,USA
5197,28,2024-07-16,Widget B,1,217.44,France
5198,56,2024-07-25,Widget B,14,301.56,Germany
5199,9,2024-03-30,Gadget Y,9,204.69,Germany
5200,36,2025-06-16,Gadget Y,15,437.99,
5201,67,2025-03-05,Widget A,7,83.31,UK
5202,13,2024-04-18,Tool Z,13,59.48,Germany
5203,69,2024-12-18,Gadget Y,5,197.68,UAE
5204,61,2024-02-08,Widget B,5,207.45,UK
5205,52,2024-02-09,Gadget Y,15,440.68,France
5206,31,2024-02-20,Gadget Y,15,141.6,Germany
5207,3,2024-12-11,Gadget X,5,147.36,UAE
5208,13,2024-08-21,Widget B,5,487.36,UAE
5209,42,2024-10-02,Gadget Y,10,326.31,USA
5210,57,2024-08-04,Gadget Y,12,247.38,UK
5211,48,2024-02-27,Tool Z,13,87.89,Germany
5212,65,2025-02-17,Widget B,13,427.12,UK
5213,4,2024-06-26,Widget B,15,418.13,
5214,8,2024-09-12,Widget A,8,34.76,Germany
5215,26,2024-10-07,Gadget X,14,237.46,UAE
5216,16,2024-02-01,Widget B,6,249.5,UAE
5217,23,2025-04-30,Tool Z,9,181.37,USA
5218,34,2024-04-02,Gadget X,1,199.41,USA
5219,28,2024-08-14,Widget B,11,111.29,France
5220,53,2025-06-09,Widget A,14,392.34,
5221,2,2025-04-30,Widget B,11,94.86,
5222,2,2024-08-17,Gadget X,10,404.48,Germany
5223,36,2025-03-09,Gadget Y,14,180.86,Germany
5224,28,2025-04-22,Gadget X,11,265.1,UK
5225,51,2025-08-21,Widget A,1,260.63,France
5226,48,2025-07-28,Tool Z,10,148.5,France
5227,14,2025-05-08,Widget A,6,494.29,France
5228,42,2024-10-10,Gadget X,11,358.43,France
5229,39,2024-07-11,Widget B,9,385.07,Uzbekistan
5230,52,2024-11-23,Widget B,12,22.46,UAE
5231,38,2024-09-22,Gadget Y,7,200.24,Uzbekistan
5232,25,2024-12-17,Widget B,11,271.96,
5233,61,2025-01-02,Tool Z,5,424.25,
5234,24,2024-10-27,Widget A,8,72.68,Germany
5235,24,2024-12-09,Widget A,4,184.08,France
5236,40,2025-03-06,Gadget X,6,137.66,Germany
5237,60,2024-04-30,Gadget Y,1,434.52,UK
5238,10,2025-04-28,Widget B,9,68.7,France
5239,49,2025-06-26,Gadget X,7,36.48,
5240,20,2024-05-20,Widget B,6,210.49,UK
5241,59,2024-05-26,Gadget X,14,360.67,
5242,11,2025-05-14,Gadget X,11,493.44,Germany
5243,8,2024-01-05,Gadget Y,5,112.59,
5244,22,2025-08-13,Widget B,8,394.74,
5245,12,2024-05-12,Tool Z,7,320.4,UAE
5246,55,2025-05-03,Gadget Y,1,28.48,USA
5247,48,2024-01-15,Gadget X,13,418.27,USA
5248,3,2024-01-05,Widget B,4,349.82,Germany
5249,40,2024-05-12,Widget A,7,256.62,Germany
5250,22,2024-03-07,Widget A,5,474.74,UAE
5251,67,2025-06-20,Gadget X,7,445.1,USA
5252,44,2025-05-16,Gadget X,13,102.32,
5253,52,2024-01-20,Widget B,4,366.3,USA
5254,28,2024-01-23,Tool Z,9,92.79,Germany
5255,5,2025-01-19,Gadget X,13,272.01,Uzbekistan
5256,7,2024-04-20,Widget A,1,347.97,UAE
5257,57,2025-01-24,Widget A,9,133.83,France
5258,20,2024-07-29,Widget A,5,216.22,Uzbekistan
5259,67,2024-10-03,Tool Z,10,353.35,UAE
5260,14,2025-06-07,Tool Z,2,148.52,
5261,14,2025-05-24,Widget B,10,107.87,Germany
5262,67,2024-07-25,Gadget X,12,210.77,USA
5263,6,2025-07-15,Gadget Y,15,111.76,UAE
5264,43,2024-08-28,Widget A,1,339.09,Uzbekistan
5265,64,2024-06-01,Widget A,13,260.73,France
5266,13,2024-09-19,Widget B,8,494.44,Germany
5267,34,2025-04-20,Widget A,2,408.45,
5268,6,2024-10-24,Gadget X,13,341.61,UAE
5269,15,2024-04-07,Widget A,1,427.47,France
5270,22,2024-12-02,Gadget X,15,224.47,UK
5271,35,2024-04-05,Gadget X,14,177.92,Uzbekistan
5272,52,2025-02-13,Gadget Y,5,419.49,France
5273,62,2025-03-07,Widget B,2,74.92,France
5274,8,2024-06-12,Widget A,7,456.49,UAE
5275,57,2024-07-04,Tool Z,7,391.78,UK
5276,4,2024-05-13,Gadget Y,15,249.17,UAE
5277,57,2024-02-17,Widget A,5,330.93,Uzbekistan
5278,68,2025-08-13,Tool Z,4,489.16,France
5279,44,2025-06-15,Tool Z,12,353.27,Uzbekistan
5280,56,2024-09-11,Gadget Y,6,335.21,France
5281,50,2024-06-01,Tool Z,15,494.01,Uzbekistan
5282,2,2024-06-09,Tool Z,14,239.94,UAE
5283,22,2024-03-17,Gadget Y,6,128.03,Germany
5284,7,2025-06-03,Widget B,9,325.22,UAE
5285,31,2024-03-21,Gadget Y,8,402.61,UAE
5286,12,2025-05-25,Gadget Y,6,68.16,UAE
5287,3,2024-04-15,Gadget Y,7,27.55,UK
5288,1,2024-04-03,Tool Z,10,322.38,UK
5289,27,2025-04-12,Gadget X,6,414.39,
5290,29,2025-04-10,Gadget X,9,386.02,UK
5291,61,2025-01-07,Gadget Y,2,57.73,France
5292,29,2024-01-03,Gadget X,6,416.63,
5293,38,2025-07-14,Tool Z,6,354.02,Uzbekistan
5294,22,2025-05-19,Widget B,14,361.25,France
5295,53,2024-04-19,Gadget X,10,105.99,Uzbekistan
5296,51,2024-08-08,Gadget Y,14,392.89,France
5297,44,2024-04-20,Gadget Y,1,464.04,
5298,16,2025-04-06,Gadget Y,11,298.75,UK
5299,18,2025-05-25,Widget A,9,370.73,UK
5300,56,2025-08-22,Gadget Y,15,259.07,USA
5301,23,2024-05-11,Widget A,7,332.18,UK
5302,42,2025-05-31,Gadget Y,7,489.95,France
5303,32,2024-10-07,Gadget Y,6,485.53,UAE
5304,18,2024-05-21,Gadget Y,10,353.0,France
5305,66,2024-11-02,Tool Z,14,163.81,France
5306,28,2024-07-24,Widget B,10,360.04,France
5307,45,2024-05-15,Widget B,9,275.81,France
5308,42,2024-04-28,Gadget X,9,245.37,UK
5309,54,2025-06-30,Gadget X,15,425.17,
5310,2,2025-06-19,Widget A,1,196.62,Uzbekistan
5311,8,2024-07-23,Gadget X,13,394.9,Germany
5312,33,2024-05-29,Widget A,12,394.33,USA
5313,70,2024-02-03,Gadget X,14,231.76,UK
5314,29,2025-07-28,Gadget Y,4,260.34,
5315,37,2024-02-18,Gadget Y,7,214.11,
5316,41,2025-07-19,Widget A,1,374.39,USA
5317,57,2024-08-18,Gadget X,13,298.3,France
5318,26,2024-07-17,Gadget X,8,96.93,France
5319,10,2024-07-10,Widget B,12,261.77,UAE
5320,6,2025-03-14,Gadget X,9,139.47,USA
5321,33,2024-01-06,Gadget X,8,357.74,USA
5322,6,2024-06-06,Gadget X,10,34.91,France
5323,39,2025-05-17,Tool Z,9,185.45,
5324,41,2025-06-22,Widget B,3,265.09,
5325,65,2024-06-12,Gadget Y,9,273.14,Uzbekistan
5326,45,2024-08-14,Widget B,11,172.61,Germany
5327,38,2024-08-11,Tool Z,9,242.67,UK
5328,2,2024-04-27,Gadget X,8,127.76,France
5329,32,2024-02-10,Gadget X,7,458.8,Uzbekistan
5330,50,2024-09-19,Tool Z,12,148.58,UK
5331,48,2025-06-10,Tool Z,8,248.52,Germany
5332,25,2024-11-24,Tool Z,2,474.61,USA
5333,69,2025-06-30,Widget A,11,42.07,France
5334,28,2025-03-10,Widget A,4,273.49,France
5335,56,2024-03-14,Widget B,1,235.01,Germany
5336,5,2024-03-30,Widget A,1,97.21,Germany
5337,10,2025-08-11,Widget B,15,136.73,UAE
5338,58,2025-02-18,Gadget Y,6,18.27,France
5339,16,2025-07-01,Widget A,11,362.93,Uzbekistan
5340,6,2024-03-15,Gadget X,15,256.38,Germany
5341,39,2024-03-29,Gadget X,13,464.07,UAE
5342,51,2024-02-01,Gadget Y,3,271.39,USA
5343,51,2025-07-12,Gadget X,11,80.59,France
5344,48,2024-01-12,Tool Z,14,281.97,Uzbekistan
5345,6,2024-01-06,Tool Z,10,203.09,UK
5346,11,2024-11-08,Widget B,12,373.29,France
5347,45,2024-08-04,Gadget Y,15,326.5,UK
5348,19,2024-06-13,Widget B,4,312.26,Germany
5349,25,2024-04-27,Widget B,11,401.82,
5350,7,2025-07-16,Gadget Y,11,279.33,Germany
5351,9,2024-09-13,Widget A,4,365.53,UAE
5352,43,2024-12-31,Widget B,11,331.17,Uzbekistan
5353,37,2024-03-12,Widget B,6,248.06,Germany
5354,40,2025-08-21,Widget B,10,287.75,
5355,41,2025-03-14,Widget B,1,163.47,
5356,29,2025-03-22,Gadget X,14,186.14,France
5357,43,2025-05-06,Gadget Y,8,185.77,Germany
5358,63,2025-07-18,Widget A,3,326.31,Uzbekistan
5359,36,2024-05-23,Tool Z,4,138.97,France
5360,10,2024-03-18,Widget A,14,258.51,Uzbekistan
5361,52,2024-08-05,Widget A,9,137.69,UK
5362,61,2024-06-01,Gadget X,7,119.41,
5363,38,2024-05-17,Gadget Y,9,260.09,UAE
5364,47,2025-05-29,Widget A,11,127.04,
5365,22,2025-06-10,Widget B,8,88.01,UK
5366,19,2025-05-10,Gadget X,1,117.21,UAE
5367,30,2024-03-05,Gadget X,6,124.66,France
5368,27,2025-06-14,Gadget X,7,240.13,UAE
5369,6,2024-02-10,Gadget X,2,354.82,UK
5370,36,2024-09-26,Tool Z,9,289.37,UAE
5371,49,2025-01-09,Tool Z,11,450.12,Uzbekistan
5372,67,2024-09-14,Gadget Y,15,119.21,UAE
5373,46,2024-12-19,Gadget Y,13,246.22,UK
5374,1,2025-05-28,Widget B,8,91.14,Uzbekistan
5375,66,2024-10-14,Widget B,3,101.57,Germany
5376,16,2024-08-23,Gadget Y,13,171.8,Uzbekistan
5377,62,2025-05-05,Gadget Y,4,299.48,France
5378,53,2024-01-23,Widget B,1,72.65,UK
5379,21,2024-05-17,Tool Z,1,446.48,USA
5380,8,2024-06-19,Gadget X,15,98.21,UAE
5381,3,2024-10-17,Widget A,4,230.1,UAE
5382,62,2024-06-23,Widget B,14,211.27,USA
5383,24,2025-06-07,Gadget X,3,364.84,Germany
5384,59,2024-03-11,Widget B,7,198.87,Uzbekistan
5385,3,2024-07-26,Tool Z,14,455.57,France
5386,54,2024-06-02,Tool Z,2,96.93,UK
5387,5,2025-06-28,Tool Z,13,67.57,UAE
5388,17,2025-07-06,Widget A,15,469.48,France
5389,56,2025-06-18,Gadget Y,6,438.65,France
5390,68,2025-03-15,Widget B,13,246.23,
5391,49,2024-12-24,Tool Z,13,373.27,
5392,13,2025-03-11,Widget B,5,243.79,USA
5393,11,2024-10-17,Tool Z,15,276.42,Germany
5394,25,2024-01-06,Widget A,10,266.03,UK
5395,1,2025-01-19,Widget B,12,404.09,UAE
5396,47,2024-04-19,Widget B,7,329.26,Germany
5397,34,2025-07-02,Gadget Y,10,189.16,Germany
5398,51,2024-07-27,Gadget Y,9,394.05,UAE
5399,23,2025-01-14,Tool Z,9,247.03,Germany
